name,time/op (ns/op),±
L/512x512x100-1-48,2.59590E+09,1%
L/512x512x100-2-48,1.69601E+09,1%
L/512x512x100-3-48,1.42504E+09,2%
L/512x512x100-4-48,1.28663E+09,1%
L/512x512x100-5-48,1.21079E+09,1%
L/512x512x100-6-48,1.17456E+09,6%
L/512x512x100-7-48,1.16238E+09,6%
L/512x512x100-8-48,1.13940E+09,5%
L/512x512x100-9-48,1.09723E+09,5%
L/512x512x100-10-48,1.10685E+09,6%
L/512x512x100-11-48,1.06057E+09,4%
L/512x512x100-12-48,1.05443E+09,1%
L/512x512x100-13-48,1.07049E+09,2%
L/512x512x100-14-48,1.05338E+09,1%
L/512x512x100-15-48,1.04344E+09,2%
L/512x512x100-16-48,1.04340E+09,2%
