name,time/op (ns/op),±
/512x512x100-1-16,4.85431E+09,0%
/512x512x100-2-16,2.71026E+09,0%
/512x512x100-3-16,1.99563E+09,1%
/512x512x100-4-16,1.62487E+09,1%
/512x512x100-5-16,1.44329E+09,4%
/512x512x100-6-16,1.29741E+09,1%
/512x512x100-7-16,1.25368E+09,2%
/512x512x100-8-16,1.33289E+09,0%
/512x512x100-9-16,1.25568E+09,1%
/512x512x100-10-16,1.21817E+09,2%
/512x512x100-11-16,1.14571E+09,2%
/512x512x100-12-16,1.07235E+09,1%
/512x512x100-13-16,1.02116E+09,2%
/512x512x100-14-16,9.78089E+08,1%
/512x512x100-15-16,9.90138E+08,2%
/512x512x100-16-16,1.18779E+09,2%
